RELATÓRIO DE SERVIDORES - 22/01/2026 21:21
====================================================================================================
NOME DO ARQUIVO                                         | SERVIDOR BASE
CineFlix_-__WAVE_-_Teste_IPTV_C_Adultos_[22-01-2026_..  | http://x25.acxll.shop:80
CineFlix_-__WAVE_-_Teste_IPTV_S_Adultos_[21-01-2026_..  | http://x25.acxll.shop:80
CineFlix_-__WAVE_-_Teste_IPTV_S_Adultos_[22-01-2026_..  | http://x25.acxll.shop:80
CineMania_-__Completo_Com_Adultos_[20-01-2026_17h32]..  | http://dns.blessed7.xyz:80
CineMania_-__Completo_Com_Adultos_[22-01-2026_21h12]..  | http://dns.blessed7.xyz:80
CineMania_-__Completo_Sem_Adultos_[20-01-2026_23h42]..  | http://dns.blessed7.xyz:80
CineMania_-__Completo_Sem_Adultos_[22-01-2026_20h40]..  | http://dns.blessed7.xyz:80
EVOLUTION_-_BOX_-__Teste_Completo_CAdultos_[20-01-20..  | http://c.superodin.nl70.top:80
EVOLUTION_-_BOX_-__Teste_Completo_CAdultos_[22-01-20..  | http://c.superodin.nl70.top:80
EVOLUTION_-_BOX_-__Teste_Completo_SAdultos_[21-01-20..  | http://c.superodin.nl70.top:80
EVOLUTION_-_EVO_PRIME_-__Teste_+18_[22-01-2026_21h12..  | http://51.77.82.194:80
GLOBAL__IPTV_1_-_TESTE_1HR__COMPLETO_[19-01-2026_07h..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_1HR__SEM_ADULTOS_[19-01-2026_..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_3HRS__COMPLETO_[19-01-2026_07..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_3HRS__SEM_ADULTOS_[19-01-2026..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_6HRS__COMPLETO_[19-01-2026_07..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_6HRS__SEM_ADULTOS_[19-01-2026..  | http://wxpago.sbs:80
GLOBAL__IPTV_1__-__TESTE_1HR__COMPLETO_[20-01-2026_2..  | http://wxpago.sbs:80
GLOBAL__IPTV_1__-__TESTE_1HR__COMPLETO_[22-01-2026_2..  | http://Y.pdjf.online:80
GLOBAL__IPTV_1__-__TESTE_1HR__SEM_ADULTOS_[20-01-202..  | http://wxpago.sbs:80
GLOBAL__IPTV_1__-__TESTE_1HR__SEM_ADULTOS_[22-01-202..  | http://Y.pdjf.online:80
GLOBAL__IPTV_1__-__TESTE_3HRS__COMPLETO_[20-01-2026_..  | http://wxpago.sbs:80
GLOBAL__IPTV_1__-__TESTE_3HRS__COMPLETO_[22-01-2026_..  | http://Y.pdjf.online:80
GLOBAL__IPTV_1__-__TESTE_3HRS__SEM_ADULTOS_[21-01-20..  | http://wxpago.sbs:80
GLOBAL__IPTV_1__-__TESTE_3HRS__SEM_ADULTOS_[22-01-20..  | http://Y.pdjf.online:80
GLOBAL__IPTV_1__-__TESTE_6HRS__COMPLETO_[21-01-2026_..  | http://wxpago.sbs:80
GLOBAL__IPTV_1__-__TESTE_6HRS__SEM_ADULTOS_[21-01-20..  | http://wxpago.sbs:80
GLOBAL__IPTV_1__-__TESTE_6HRS__SEM_ADULTOS_[22-01-20..  | http://Y.pdjf.online:80
GLOBAL__IPTV_2_-_TESTE_1HR__COMPLETO_[19-01-2026_07h..  | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_1HR__SEM_ADULTOS_[19-01-2026_..  | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_3HRS__COMPLETO_[19-01-2026_07..  | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_3HRS__SEM_ADULTOS_[19-01-2026..  | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_6HRS__COMPLETO_[19-01-2026_07..  | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[21-01-2026..  | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[22-01-2026..  | http://protec.sbs:80
GLOBAL__IPTV_2__-__TESTE_1HR__COMPLETO_[20-01-2026_2..  | http://protec.sbs:80
GLOBAL__IPTV_2__-__TESTE_1HR__COMPLETO_[22-01-2026_2..  | http://protec.sbs:80
GLOBAL__IPTV_2__-__TESTE_1HR__SEM_ADULTOS_[20-01-202..  | http://protec.sbs:80
GLOBAL__IPTV_2__-__TESTE_1HR__SEM_ADULTOS_[22-01-202..  | http://protec.sbs:80
GLOBAL__IPTV_2__-__TESTE_3HRS__COMPLETO_[21-01-2026_..  | http://protec.sbs:80
GLOBAL__IPTV_2__-__TESTE_3HRS__SEM_ADULTOS_[21-01-20..  | http://protec.sbs:80
GLOBAL__IPTV_2__-__TESTE_3HRS__SEM_ADULTOS_[22-01-20..  | http://protec.sbs:80
GLOBAL__IPTV_2__-__TESTE_6HRS__COMPLETO_[20-01-2026_..  | http://protec.sbs:80
GLOBAL__IPTV_2__-__TESTE_6HRS__COMPLETO_[22-01-2026_..  | http://protec.sbs:80
GLOBAL__IPTV_2__-__TESTE_6HRS__SEM_ADULTOS_[21-01-20..  | http://protec.sbs:80
GLOBAL__IPTV_2__-__TESTE_6HRS__SEM_ADULTOS_[22-01-20..  | http://protec.sbs:80
GLOBAL__IPTV_3_-_TESTE_1HR__COMPLETO_[19-01-2026_07h..  | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_1HR__SEM_ADULTOS_[19-01-2026_..  | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_3HRS__COMPLETO_[19-01-2026_07..  | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_3HRS__SEM_ADULTOS_[19-01-2026..  | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_6HRS__COMPLETO_[19-01-2026_07..  | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_6HRS__SEM_ADULTOS_[19-01-2026..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_1HR__COMPLETO_[20-01-2026_2..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_1HR__COMPLETO_[22-01-2026_2..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_1HR__SEM_ADULTOS_[21-01-202..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_1HR__SEM_ADULTOS_[22-01-202..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_3HRS__COMPLETO_[21-01-2026_..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_3HRS__COMPLETO_[22-01-2026_..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_3HRS__SEM_ADULTOS_[21-01-20..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_3HRS__SEM_ADULTOS_[22-01-20..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_6HRS__COMPLETO_[21-01-2026_..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_6HRS__COMPLETO_[22-01-2026_..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_6HRS__SEM_ADULTOS_[20-01-20..  | http://topcdn.fun:80
GLOBAL__IPTV_3__-__TESTE_6HRS__SEM_ADULTOS_[22-01-20..  | http://topcdn.fun:80
GLOBAL__IPTV_4_-_TESTE_1HR__COMPLETO_[19-01-2026_07h..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_1HR__SEM_ADULTOS_[19-01-2026_..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_3HRS__COMPLETO_[19-01-2026_07..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_3HRS__SEM_ADULTOS_[19-01-2026..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_6HRS__COMPLETO_[19-01-2026_07..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_6HRS__SEM_ADULTOS_[19-01-2026..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4__-__TESTE_1HR__COMPLETO_[21-01-2026_0..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4__-__TESTE_1HR__COMPLETO_[22-01-2026_2..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4__-__TESTE_1HR__SEM_ADULTOS_[20-01-202..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4__-__TESTE_1HR__SEM_ADULTOS_[22-01-202..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4__-__TESTE_3HRS__COMPLETO_[21-01-2026_..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4__-__TESTE_3HRS__COMPLETO_[22-01-2026_..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4__-__TESTE_3HRS__SEM_ADULTOS_[20-01-20..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4__-__TESTE_3HRS__SEM_ADULTOS_[22-01-20..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4__-__TESTE_6HRS__COMPLETO_[21-01-2026_..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4__-__TESTE_6HRS__SEM_ADULTOS_[21-01-20..  | http://x25.acxll.shop:80
GLOBAL__IPTV_4__-__TESTE_6HRS__SEM_ADULTOS_[22-01-20..  | http://x25.acxll.shop:80
HAVOK_TV_-_ANDROMEDA_-__[Teste_04h]_-_Andromeda_[21-..  | http://tigeragile.uk:80
HAVOK_TV_-_ANDROMEDA_-__[Teste_04h]_-_Andromeda_[22-..  | http://tigeragile.uk:80
HAVOK_TV_-_DIGNUS_-__[Teste_04h]_-_Dignus_[21-01-202..  | http://cloudsalex.space:80
HAVOK_TV_-_DIGNUS_-__[Teste_04h]_-_Dignus_[22-01-202..  | http://cloudsalex.space:80
HAVOK_TV_-_FNIX_-__[Teste_04h]_-_Fnix_[20-01-2026_17..  | http://c.superodin.nl70.top:80
HAVOK_TV_-_FNIX_-__[Teste_04h]_-_Fnix_[22-01-2026_20..  | http://c.superodin.nl70.top:80
HAVOK_TV_-_KLAUS_-__[Teste_04h]_-_Klaus_[21-01-2026_..  | http://xui.brfontes.fun:80
HAVOK_TV_-_KLAUS_-__[Teste_04h]_-_Klaus_[22-01-2026_..  | http://83km.sbs:80
HAVOK_TV_-_KYROS_-__[Teste_04h]_-_Kyros_[20-01-2026_..  | http://cloudsalex.space:80
HAVOK_TV_-_KYROS_-__[Teste_04h]_-_Kyros_[22-01-2026_..  | http://cloudsalex.space:80
HAVOK_TV_-_MAGNUS_-__[Teste_6h]_-_Magnus_[21-01-2026..  | http://sxhs.cgpsx.site:80
HAVOK_TV_-_MAGNUS_-__[Teste_6h]_-_Magnus_[22-01-2026..  | http://sxhs.cgpsx.site:80
HAVOK_TV_-_NEON_-__[Teste_6h]_-_Neon_[21-01-2026_07h..  | http://lbgthost.shop:80
HAVOK_TV_-_NEON_-__[Teste_6h]_-_Neon_[22-01-2026_20h..  | http://lbgthost.shop:80
HAVOK_TV_-_NEXUS_-__[Teste_04h]_-_Nexus_[21-01-2026_..  | http://fhmplay.shop:80
HAVOK_TV_-_NEXUS_-__[Teste_04h]_-_Nexus_[22-01-2026_..  | http://fhmplay.shop:80
HAVOK_TV_-_OMEGA_-__[Teste_04h]_-_Omega_[21-01-2026_..  | http://fontez.cc:80
HAVOK_TV_-_OMEGA_-__[Teste_04h]_-_Omega_[22-01-2026_..  | http://fontez.cc:80
HAVOK_TV_-_ORION_-__[Teste_04h]_-_Orion_[21-01-2026_..  | http://x25.acxll.shop:80
HAVOK_TV_-_ORION_-__[Teste_04h]_-_Orion_[22-01-2026_..  | http://x25.acxll.shop:80
HAVOK_TV_-_SHAZAM_-__[Teste_04h]_-_Shazam_[21-01-202..  | http://cdn.andromedaz.site:80
HAVOK_TV_-_SHAZAM_-__[Teste_04h]_-_Shazam_[22-01-202..  | http://cdn.andromedaz.site:80
