
============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 337311 itens.

============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (697):
   + [▶️ Series | Lançamentos] A Guerra dos Reinos S01E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] A Guerra dos Reinos S01E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] A Guerra dos Reinos S01E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] A Guerra dos Reinos S01E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] A Mar S01E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] A Mar S01E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] A Mar S01E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] A Mar S01E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Meu Namorado Coreano S01E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Meu Namorado Coreano S01E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Meu Namorado Coreano S01E07  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Meu Namorado Coreano S01E08  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Sandokan S01E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Sandokan S01E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Sandokan S01E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Sandokan S01E04  | (1ª vez: 20/01/2026 17:32)
