
============================================================
📁 ARQUIVO: BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[19-01-2026_00h45].m3u
📅 DATA: 19/01/2026 00:45
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 338030 itens.

============================================================
📁 ARQUIVO: BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[19-01-2026_18h27].m3u
📅 DATA: 19/01/2026 18:27
------------------------------------------------------------
🟢 ENTRARAM (1089):
   + [▶️ Series | Família] Três Irmãs S02E162  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E163  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E164  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E165  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E166  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E167  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E168  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E169  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E170  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E171  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E172  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E173  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E174  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E175  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E176  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E177  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E178  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E179  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E180  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E181  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E182  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E183  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E184  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S02E185  | (1ª vez: 19/01/2026 18:27)
